Name,Value,MOE
Establishments,227687,
Number of establishments change (2023 to 2024),5747,
Number of establishments percent change (2023 to 2024) (%),2.6,
Number of establishments location quotient,1.01,
Employment (1st month of the quarter),2850002,
Employment change month 1 (1st month of the quarter in 2023 to 2024),24941,
Employment percent change (1st month of the quarter in 2023 to 2024) (%),0.9,
Employment location quotient (1st month of the quarter),1.01,
Employment (2nd month of the quarter),2871258,
Employment change month 2 (2nd month of the quarter in 2023 to 2024),17700,
Employment percent change (2nd month of the quarter in 2023 to 2024) (%),0.6,
Employment location quotient (2nd month of the quarter),1.01,
Employment (3rd month of the quarter),2874677,
Employment change month 3 (3rd month of the quarter in 2023 to 2024),20371,
Employment percent change (3rd month of the quarter in 2023 to 2024) (%),0.7,
Employment location quotient (3rd month of the quarter),1.01,
Total wages ($),51723346886,
Total wages change (2023 to 2024) ($),2983696414,
Total wages percent change (2023 to 2024) (%),6.1,
Total wages location quotient,1.02,
Average weekly wages ($),1389,
Average weekly wages change (2023 to 2024) ($),71,
Average weekly wages percent change (2023 to 2024) (%),5.4,
Average weekly wages location quotient,1,
