Name,Value,MOE
Establishments,101122,
Number of establishments change (2023 to 2024),7294,
Number of establishments percent change (2023 to 2024) (%),7.8,
Number of establishments location quotient,1,
Employment (1st month of the quarter),748734,
Employment change month 1 (1st month of the quarter in 2023 to 2024),15639,
Employment percent change (1st month of the quarter in 2023 to 2024) (%),2.1,
Employment location quotient (1st month of the quarter),1,
Employment (2nd month of the quarter),739817,
Employment change month 2 (2nd month of the quarter in 2023 to 2024),10598,
Employment percent change (2nd month of the quarter in 2023 to 2024) (%),1.5,
Employment location quotient (2nd month of the quarter),1,
Employment (3rd month of the quarter),735061,
Employment change month 3 (3rd month of the quarter in 2023 to 2024),6498,
Employment percent change (3rd month of the quarter in 2023 to 2024) (%),0.9,
Employment location quotient (3rd month of the quarter),1,
Total wages ($),12123495481,
Total wages change (2023 to 2024) ($),1183898074,
Total wages percent change (2023 to 2024) (%),10.8,
Total wages location quotient,1.02,
Average weekly wages ($),1258,
Average weekly wages change (2023 to 2024) ($),106,
Average weekly wages percent change (2023 to 2024) (%),9.2,
Average weekly wages location quotient,1.01,
