Name,Value,MOE
Establishments,189456,
Number of establishments change (2023 to 2024),4151,
Number of establishments percent change (2023 to 2024) (%),2.2,
Number of establishments location quotient,1,
Employment (1st month of the quarter),2789833,
Employment change month 1 (1st month of the quarter in 2023 to 2024),7442,
Employment percent change (1st month of the quarter in 2023 to 2024) (%),0.3,
Employment location quotient (1st month of the quarter),1.02,
Employment (2nd month of the quarter),2800643,
Employment change month 2 (2nd month of the quarter in 2023 to 2024),7846,
Employment percent change (2nd month of the quarter in 2023 to 2024) (%),0.3,
Employment location quotient (2nd month of the quarter),1.02,
Employment (3rd month of the quarter),2792510,
Employment change month 3 (3rd month of the quarter in 2023 to 2024),4231,
Employment percent change (3rd month of the quarter in 2023 to 2024) (%),0.2,
Employment location quotient (3rd month of the quarter),1.02,
Total wages ($),45012765278,
Total wages change (2023 to 2024) ($),2085653271,
Total wages percent change (2023 to 2024) (%),4.9,
Total wages location quotient,1.03,
Average weekly wages ($),1239,
Average weekly wages change (2023 to 2024) ($),55,
Average weekly wages percent change (2023 to 2024) (%),4.6,
Average weekly wages location quotient,1.01,
