Name,Value,MOE
Establishments,222689,
Number of establishments change (2023 to 2024),606,
Number of establishments percent change (2023 to 2024) (%),0.3,
Number of establishments location quotient,1.01,
Employment (1st month of the quarter),2823994,
Employment change month 1 (1st month of the quarter in 2023 to 2024),54732,
Employment percent change (1st month of the quarter in 2023 to 2024) (%),2,
Employment location quotient (1st month of the quarter),1.02,
Employment (2nd month of the quarter),2854848,
Employment change month 2 (2nd month of the quarter in 2023 to 2024),47027,
Employment percent change (2nd month of the quarter in 2023 to 2024) (%),1.7,
Employment location quotient (2nd month of the quarter),1.02,
Employment (3rd month of the quarter),2853544,
Employment change month 3 (3rd month of the quarter in 2023 to 2024),32851,
Employment percent change (3rd month of the quarter in 2023 to 2024) (%),1.2,
Employment location quotient (3rd month of the quarter),1.02,
Total wages ($),51955258087,
Total wages change (2023 to 2024) ($),4127194674,
Total wages percent change (2023 to 2024) (%),8.6,
Total wages location quotient,1.01,
Average weekly wages ($),1405,
Average weekly wages change (2023 to 2024) ($),91,
Average weekly wages percent change (2023 to 2024) (%),6.9,
Average weekly wages location quotient,0.99,
