Name,Value,MOE
Establishments,311784,
Number of establishments change (2023 to 2024),7232,
Number of establishments percent change (2023 to 2024) (%),2.4,
Number of establishments location quotient,1,
Employment (1st month of the quarter),3382582,
Employment change month 1 (1st month of the quarter in 2023 to 2024),33051,
Employment percent change (1st month of the quarter in 2023 to 2024) (%),1,
Employment location quotient (1st month of the quarter),0.96,
Employment (2nd month of the quarter),3393570,
Employment change month 2 (2nd month of the quarter in 2023 to 2024),30663,
Employment percent change (2nd month of the quarter in 2023 to 2024) (%),0.9,
Employment location quotient (2nd month of the quarter),0.96,
Employment (3rd month of the quarter),3388482,
Employment change month 3 (3rd month of the quarter in 2023 to 2024),26998,
Employment percent change (3rd month of the quarter in 2023 to 2024) (%),0.8,
Employment location quotient (3rd month of the quarter),0.96,
Total wages ($),68551122466,
Total wages change (2023 to 2024) ($),3604332004,
Total wages percent change (2023 to 2024) (%),5.5,
Total wages location quotient,0.96,
Average weekly wages ($),1556,
Average weekly wages change (2023 to 2024) ($),68,
Average weekly wages percent change (2023 to 2024) (%),4.6,
Average weekly wages location quotient,1,
