Name,Value,MOE
Establishments,74527,
Number of establishments change (2023 to 2024),1187,
Number of establishments percent change (2023 to 2024) (%),1.6,
Number of establishments location quotient,0.98,
Employment (1st month of the quarter),859031,
Employment change month 1 (1st month of the quarter in 2023 to 2024),5460,
Employment percent change (1st month of the quarter in 2023 to 2024) (%),0.6,
Employment location quotient (1st month of the quarter),0.98,
Employment (2nd month of the quarter),859739,
Employment change month 2 (2nd month of the quarter in 2023 to 2024),5987,
Employment percent change (2nd month of the quarter in 2023 to 2024) (%),0.7,
Employment location quotient (2nd month of the quarter),0.98,
Employment (3rd month of the quarter),855957,
Employment change month 3 (3rd month of the quarter in 2023 to 2024),2009,
Employment percent change (3rd month of the quarter in 2023 to 2024) (%),0.2,
Employment location quotient (3rd month of the quarter),0.98,
Total wages ($),13748188431,
Total wages change (2023 to 2024) ($),513006422,
Total wages percent change (2023 to 2024) (%),3.9,
Total wages location quotient,0.98,
Average weekly wages ($),1232,
Average weekly wages change (2023 to 2024) ($),40,
Average weekly wages percent change (2023 to 2024) (%),3.4,
Average weekly wages location quotient,1,
