Name,Value,MOE
Establishments,63569,
Number of establishments change (2023 to 2024),-579,
Number of establishments percent change (2023 to 2024) (%),-0.9,
Number of establishments location quotient,0.99,
Employment (1st month of the quarter),429517,
Employment change month 1 (1st month of the quarter in 2023 to 2024),4968,
Employment percent change (1st month of the quarter in 2023 to 2024) (%),1.2,
Employment location quotient (1st month of the quarter),0.97,
Employment (2nd month of the quarter),423589,
Employment change month 2 (2nd month of the quarter in 2023 to 2024),2780,
Employment percent change (2nd month of the quarter in 2023 to 2024) (%),0.7,
Employment location quotient (2nd month of the quarter),0.97,
Employment (3rd month of the quarter),425334,
Employment change month 3 (3rd month of the quarter in 2023 to 2024),2227,
Employment percent change (3rd month of the quarter in 2023 to 2024) (%),0.5,
Employment location quotient (3rd month of the quarter),0.97,
Total wages ($),6988898516,
Total wages change (2023 to 2024) ($),498658663,
Total wages percent change (2023 to 2024) (%),7.7,
Total wages location quotient,0.97,
Average weekly wages ($),1262,
Average weekly wages change (2023 to 2024) ($),81,
Average weekly wages percent change (2023 to 2024) (%),6.9,
Average weekly wages location quotient,1,
