Name,Value,MOE
Establishments,333647,
Number of establishments change (2023 to 2024),8980,
Number of establishments percent change (2023 to 2024) (%),2.8,
Number of establishments location quotient,1.01,
Employment (1st month of the quarter),3695912,
Employment change month 1 (1st month of the quarter in 2023 to 2024),35320,
Employment percent change (1st month of the quarter in 2023 to 2024) (%),1,
Employment location quotient (1st month of the quarter),1.01,
Employment (2nd month of the quarter),3715466,
Employment change month 2 (2nd month of the quarter in 2023 to 2024),32364,
Employment percent change (2nd month of the quarter in 2023 to 2024) (%),0.9,
Employment location quotient (2nd month of the quarter),1.01,
Employment (3rd month of the quarter),3729145,
Employment change month 3 (3rd month of the quarter in 2023 to 2024),31866,
Employment percent change (3rd month of the quarter in 2023 to 2024) (%),0.9,
Employment location quotient (3rd month of the quarter),1.01,
Total wages ($),79241471899,
Total wages change (2023 to 2024) ($),3411531713,
Total wages percent change (2023 to 2024) (%),4.5,
Total wages location quotient,1.01,
Average weekly wages ($),1641,
Average weekly wages change (2023 to 2024) ($),56,
Average weekly wages percent change (2023 to 2024) (%),3.5,
Average weekly wages location quotient,1,
