Name,Value,MOE
Establishments,695509,
Number of establishments change (2023 to 2024),13605,
Number of establishments percent change (2023 to 2024) (%),2,
Number of establishments location quotient,1,
Employment (1st month of the quarter),8305639,
Employment change month 1 (1st month of the quarter in 2023 to 2024),133281,
Employment percent change (1st month of the quarter in 2023 to 2024) (%),1.6,
Employment location quotient (1st month of the quarter),1,
Employment (2nd month of the quarter),8329594,
Employment change month 2 (2nd month of the quarter in 2023 to 2024),134106,
Employment percent change (2nd month of the quarter in 2023 to 2024) (%),1.6,
Employment location quotient (2nd month of the quarter),1,
Employment (3rd month of the quarter),8333273,
Employment change month 3 (3rd month of the quarter in 2023 to 2024),125565,
Employment percent change (3rd month of the quarter in 2023 to 2024) (%),1.5,
Employment location quotient (3rd month of the quarter),1,
Total wages ($),206270325545,
Total wages change (2023 to 2024) ($),13934954852,
Total wages percent change (2023 to 2024) (%),7.2,
Total wages location quotient,1,
Average weekly wages ($),1906,
Average weekly wages change (2023 to 2024) ($),100,
Average weekly wages percent change (2023 to 2024) (%),5.5,
Average weekly wages location quotient,1,
