Name,Value,MOE
Establishments,402413,
Number of establishments change (2023 to 2024),4872,
Number of establishments percent change (2023 to 2024) (%),1.2,
Number of establishments location quotient,1,
Employment (1st month of the quarter),5270311,
Employment change month 1 (1st month of the quarter in 2023 to 2024),9268,
Employment percent change (1st month of the quarter in 2023 to 2024) (%),0.2,
Employment location quotient (1st month of the quarter),1.01,
Employment (2nd month of the quarter),5275759,
Employment change month 2 (2nd month of the quarter in 2023 to 2024),4873,
Employment percent change (2nd month of the quarter in 2023 to 2024) (%),0.1,
Employment location quotient (2nd month of the quarter),1.01,
Employment (3rd month of the quarter),5261632,
Employment change month 3 (3rd month of the quarter in 2023 to 2024),7914,
Employment percent change (3rd month of the quarter in 2023 to 2024) (%),0.2,
Employment location quotient (3rd month of the quarter),1.01,
Total wages ($),107072155637,
Total wages change (2023 to 2024) ($),4457490225,
Total wages percent change (2023 to 2024) (%),4.3,
Total wages location quotient,1.02,
Average weekly wages ($),1563,
Average weekly wages change (2023 to 2024) ($),63,
Average weekly wages percent change (2023 to 2024) (%),4.2,
Average weekly wages location quotient,1.01,
