Name,Value,MOE
Establishments,280992,
Number of establishments change (2023 to 2024),1196,
Number of establishments percent change (2023 to 2024) (%),0.4,
Number of establishments location quotient,1,
Employment (1st month of the quarter),3206777,
Employment change month 1 (1st month of the quarter in 2023 to 2024),-14935,
Employment percent change (1st month of the quarter in 2023 to 2024) (%),-0.5,
Employment location quotient (1st month of the quarter),1.03,
Employment (2nd month of the quarter),3198136,
Employment change month 2 (2nd month of the quarter in 2023 to 2024),-18376,
Employment percent change (2nd month of the quarter in 2023 to 2024) (%),-0.6,
Employment location quotient (2nd month of the quarter),1.02,
Employment (3rd month of the quarter),3186378,
Employment change month 3 (3rd month of the quarter in 2023 to 2024),-21542,
Employment percent change (3rd month of the quarter in 2023 to 2024) (%),-0.7,
Employment location quotient (3rd month of the quarter),1.02,
Total wages ($),80404305440,
Total wages change (2023 to 2024) ($),3388059799,
Total wages percent change (2023 to 2024) (%),4.4,
Total wages location quotient,1.04,
Average weekly wages ($),1935,
Average weekly wages change (2023 to 2024) ($),93,
Average weekly wages percent change (2023 to 2024) (%),5,
Average weekly wages location quotient,1.02,
