Name,Value,MOE
Establishments,381911,
Number of establishments change (2023 to 2024),9616,
Number of establishments percent change (2023 to 2024) (%),2.6,
Number of establishments location quotient,0.99,
Employment (1st month of the quarter),5386086,
Employment change month 1 (1st month of the quarter in 2023 to 2024),49002,
Employment percent change (1st month of the quarter in 2023 to 2024) (%),0.9,
Employment location quotient (1st month of the quarter),1.04,
Employment (2nd month of the quarter),5389362,
Employment change month 2 (2nd month of the quarter in 2023 to 2024),44343,
Employment percent change (2nd month of the quarter in 2023 to 2024) (%),0.8,
Employment location quotient (2nd month of the quarter),1.04,
Employment (3rd month of the quarter),5389513,
Employment change month 3 (3rd month of the quarter in 2023 to 2024),38961,
Employment percent change (3rd month of the quarter in 2023 to 2024) (%),0.7,
Employment location quotient (3rd month of the quarter),1.04,
Total wages ($),99477801016,
Total wages change (2023 to 2024) ($),4650734847,
Total wages percent change (2023 to 2024) (%),4.9,
Total wages location quotient,1.03,
Average weekly wages ($),1420,
Average weekly wages change (2023 to 2024) ($),55,
Average weekly wages percent change (2023 to 2024) (%),4,
Average weekly wages location quotient,1,
