Name,Value,MOE
Establishments,152798,
Number of establishments change (2023 to 2024),4559,
Number of establishments percent change (2023 to 2024) (%),3.1,
Number of establishments location quotient,0.99,
Employment (1st month of the quarter),1698138,
Employment change month 1 (1st month of the quarter in 2023 to 2024),8078,
Employment percent change (1st month of the quarter in 2023 to 2024) (%),0.5,
Employment location quotient (1st month of the quarter),0.99,
Employment (2nd month of the quarter),1705769,
Employment change month 2 (2nd month of the quarter in 2023 to 2024),4693,
Employment percent change (2nd month of the quarter in 2023 to 2024) (%),0.3,
Employment location quotient (2nd month of the quarter),0.99,
Employment (3rd month of the quarter),1702053,
Employment change month 3 (3rd month of the quarter in 2023 to 2024),-1424,
Employment percent change (3rd month of the quarter in 2023 to 2024) (%),-0.1,
Employment location quotient (3rd month of the quarter),0.99,
Total wages ($),26543856707,
Total wages change (2023 to 2024) ($),1005437885,
Total wages percent change (2023 to 2024) (%),3.9,
Total wages location quotient,0.99,
Average weekly wages ($),1200,
Average weekly wages change (2023 to 2024) ($),43,
Average weekly wages percent change (2023 to 2024) (%),3.7,
Average weekly wages location quotient,1,
