Name,Value,MOE
Median household income,92470,483
Average income,124231,765
Percent high school degree or higher,92.8,0.1
Percent Bachelor's degree or higher,44.7,0.2
Average household size,2.45,
Percent in poverty,9.4,0.2
Percent population 16 years and over in labor force,68.6,0.1
Percent employed,64.7,0.2
Percent disabled,11.2,0.1
Percent with health coverage,92.3,0.2
Percent of all workers 16 and over who commute to work,81.2,0.3
Percent who drive alone to work,66.8,0.2
Percent who carpool to work,7.9,0.2
Percent who use public transportation to commute to work,1.9,0.1
Percent who walk to work,2.5,0.1
Percent who use other means to commute to work,2.1,0.1
Percent who work from home,18.8,0.2
Average travel time to work (mins),25.5,0.2
Percent with no vehicles available,5.1,0.1
Percent with 1 vehicle available,30.2,0.2
Percent with 2 or more vehicles available,64.7,0.3
Percent veterans,7.7,0.1
Percent foreign born,9.6,
Percent speaking Spanish at home,11,0.1
Percent speaking other Indo-European languages at home,2.3,0.1
Percent speaking other Asian and Pacific Island languages at home,1.9,0.1
