Name,Value,MOE
Establishments,331911,
Number of establishments change (2023 to 2024),11444,
Number of establishments percent change (2023 to 2024) (%),3.6,
Number of establishments location quotient,0.98,
Employment (1st month of the quarter),4811451,
Employment change month 1 (1st month of the quarter in 2023 to 2024),27139,
Employment percent change (1st month of the quarter in 2023 to 2024) (%),0.6,
Employment location quotient (1st month of the quarter),1.01,
Employment (2nd month of the quarter),4819037,
Employment change month 2 (2nd month of the quarter in 2023 to 2024),27298,
Employment percent change (2nd month of the quarter in 2023 to 2024) (%),0.6,
Employment location quotient (2nd month of the quarter),1.01,
Employment (3rd month of the quarter),4806602,
Employment change month 3 (3rd month of the quarter in 2023 to 2024),23361,
Employment percent change (3rd month of the quarter in 2023 to 2024) (%),0.5,
Employment location quotient (3rd month of the quarter),1.01,
Total wages ($),81396201196,
Total wages change (2023 to 2024) ($),4167263368,
Total wages percent change (2023 to 2024) (%),5.4,
Total wages location quotient,1,
Average weekly wages ($),1301,
Average weekly wages change (2023 to 2024) ($),60,
Average weekly wages percent change (2023 to 2024) (%),4.8,
Average weekly wages location quotient,0.99,
