Name,Value,MOE
Establishments,106604,
Number of establishments change (2023 to 2024),-1231,
Number of establishments percent change (2023 to 2024) (%),-1.1,
Number of establishments location quotient,1.01,
Employment (1st month of the quarter),1388066,
Employment change month 1 (1st month of the quarter in 2023 to 2024),10118,
Employment percent change (1st month of the quarter in 2023 to 2024) (%),0.7,
Employment location quotient (1st month of the quarter),1.04,
Employment (2nd month of the quarter),1390202,
Employment change month 2 (2nd month of the quarter in 2023 to 2024),6754,
Employment percent change (2nd month of the quarter in 2023 to 2024) (%),0.5,
Employment location quotient (2nd month of the quarter),1.04,
Employment (3rd month of the quarter),1384899,
Employment change month 3 (3rd month of the quarter in 2023 to 2024),1665,
Employment percent change (3rd month of the quarter in 2023 to 2024) (%),0.1,
Employment location quotient (3rd month of the quarter),1.04,
Total wages ($),23864557675,
Total wages change (2023 to 2024) ($),1348400078,
Total wages percent change (2023 to 2024) (%),6,
Total wages location quotient,1.01,
Average weekly wages ($),1323,
Average weekly wages change (2023 to 2024) ($),69,
Average weekly wages percent change (2023 to 2024) (%),5.5,
Average weekly wages location quotient,0.97,
