Name,Value,MOE
Establishments,86957,
Number of establishments change (2023 to 2024),2847,
Number of establishments percent change (2023 to 2024) (%),3.4,
Number of establishments location quotient,0.98,
Employment (1st month of the quarter),936371,
Employment change month 1 (1st month of the quarter in 2023 to 2024),160,
Employment percent change (1st month of the quarter in 2023 to 2024) (%),0,
Employment location quotient (1st month of the quarter),0.94,
Employment (2nd month of the quarter),942622,
Employment change month 2 (2nd month of the quarter in 2023 to 2024),812,
Employment percent change (2nd month of the quarter in 2023 to 2024) (%),0.1,
Employment location quotient (2nd month of the quarter),0.94,
Employment (3rd month of the quarter),942010,
Employment change month 3 (3rd month of the quarter in 2023 to 2024),402,
Employment percent change (3rd month of the quarter in 2023 to 2024) (%),0,
Employment location quotient (3rd month of the quarter),0.94,
Total wages ($),12401747128,
Total wages change (2023 to 2024) ($),521064253,
Total wages percent change (2023 to 2024) (%),4.4,
Total wages location quotient,0.92,
Average weekly wages ($),1015,
Average weekly wages change (2023 to 2024) ($),43,
Average weekly wages percent change (2023 to 2024) (%),4.4,
Average weekly wages location quotient,0.98,
