Name,Value,MOE
Establishments,829020,
Number of establishments change (2023 to 2024),7743,
Number of establishments percent change (2023 to 2024) (%),0.9,
Number of establishments location quotient,1.01,
Employment (1st month of the quarter),12008587,
Employment change month 1 (1st month of the quarter in 2023 to 2024),178410,
Employment percent change (1st month of the quarter in 2023 to 2024) (%),1.5,
Employment location quotient (1st month of the quarter),1,
Employment (2nd month of the quarter),12066379,
Employment change month 2 (2nd month of the quarter in 2023 to 2024),182277,
Employment percent change (2nd month of the quarter in 2023 to 2024) (%),1.5,
Employment location quotient (2nd month of the quarter),1,
Employment (3rd month of the quarter),12065282,
Employment change month 3 (3rd month of the quarter in 2023 to 2024),180965,
Employment percent change (3rd month of the quarter in 2023 to 2024) (%),1.5,
Employment location quotient (3rd month of the quarter),1,
Total wages ($),237728418327,
Total wages change (2023 to 2024) ($),13622376478,
Total wages percent change (2023 to 2024) (%),6.1,
Total wages location quotient,1.01,
Average weekly wages ($),1518,
Average weekly wages change (2023 to 2024) ($),65,
Average weekly wages percent change (2023 to 2024) (%),4.5,
Average weekly wages location quotient,1.01,
