Name,Value,MOE
Establishments,147255,
Number of establishments change (2023 to 2024),4176,
Number of establishments percent change (2023 to 2024) (%),2.9,
Number of establishments location quotient,1,
Employment (1st month of the quarter),1470011,
Employment change month 1 (1st month of the quarter in 2023 to 2024),9353,
Employment percent change (1st month of the quarter in 2023 to 2024) (%),0.6,
Employment location quotient (1st month of the quarter),1.01,
Employment (2nd month of the quarter),1473913,
Employment change month 2 (2nd month of the quarter in 2023 to 2024),8064,
Employment percent change (2nd month of the quarter in 2023 to 2024) (%),0.6,
Employment location quotient (2nd month of the quarter),1.01,
Employment (3rd month of the quarter),1472712,
Employment change month 3 (3rd month of the quarter in 2023 to 2024),7741,
Employment percent change (3rd month of the quarter in 2023 to 2024) (%),0.5,
Employment location quotient (3rd month of the quarter),1.01,
Total wages ($),33376829554,
Total wages change (2023 to 2024) ($),1919032653,
Total wages percent change (2023 to 2024) (%),6.1,
Total wages location quotient,1.02,
Average weekly wages ($),1744,
Average weekly wages change (2023 to 2024) ($),91,
Average weekly wages percent change (2023 to 2024) (%),5.5,
Average weekly wages location quotient,1.01,
