Name,Value,MOE
Establishments,150966,
Number of establishments change (2023 to 2024),2760,
Number of establishments percent change (2023 to 2024) (%),1.9,
Number of establishments location quotient,0.99,
Employment (1st month of the quarter),1630133,
Employment change month 1 (1st month of the quarter in 2023 to 2024),23346,
Employment percent change (1st month of the quarter in 2023 to 2024) (%),1.5,
Employment location quotient (1st month of the quarter),0.98,
Employment (2nd month of the quarter),1634434,
Employment change month 2 (2nd month of the quarter in 2023 to 2024),24688,
Employment percent change (2nd month of the quarter in 2023 to 2024) (%),1.5,
Employment location quotient (2nd month of the quarter),0.98,
Employment (3rd month of the quarter),1626887,
Employment change month 3 (3rd month of the quarter in 2023 to 2024),16951,
Employment percent change (3rd month of the quarter in 2023 to 2024) (%),1.1,
Employment location quotient (3rd month of the quarter),0.98,
Total wages ($),26211546591,
Total wages change (2023 to 2024) ($),1100817059,
Total wages percent change (2023 to 2024) (%),4.4,
Total wages location quotient,0.98,
Average weekly wages ($),1237,
Average weekly wages change (2023 to 2024) ($),36,
Average weekly wages percent change (2023 to 2024) (%),3,
Average weekly wages location quotient,1,
